index,raw_X,local_X,Z,C_unwrapped,pass_id
3288,239.5874,42.5874,0.7851,-19221.7149,2
3368,239.5576,42.55760000000001,0.778,-19436.7685,2
3448,239.5277,42.52770000000001,0.7705,-19651.9731,2
3528,239.4978,42.49780000000001,0.7606,-19867.3287,2
3608,239.4679,42.467899999999986,0.7526,-20082.8359,2
3688,239.438,42.43799999999999,0.7448,-20298.4948,2
3768,239.4081,42.40809999999999,0.7365,-20514.3059,2
3848,239.3781,42.37809999999999,0.7294,-20730.2694,2
3928,239.3482,42.34819999999999,0.7215,-20946.3857,2
4008,239.3182,42.31819999999999,0.7126,-21162.6551,2
4088,239.2881,42.288099999999986,0.7035,-21379.0778,2
4168,239.2581,42.25810000000001,0.6942,-21595.6544,2
4248,239.228,42.22800000000001,0.6847,-21812.385,2
4328,239.1979,42.197900000000004,0.6751,-22029.27,2
4408,239.1678,42.1678,0.6653,-22246.3097,2
4488,239.1377,42.137699999999995,0.6553,-22463.5045,2
4568,239.1076,42.10759999999999,0.6452,-22680.8547,2
4648,239.0774,42.07740000000001,0.6349,-22898.3606,2
4728,239.0472,42.047200000000004,0.6168,-23116.0226,2
4808,239.017,42.016999999999996,0.6063,-23333.8409,2
4888,238.9868,41.98679999999999,0.5955,-23551.8161,2
4968,238.9565,41.956500000000005,0.5847,-23769.9482,2
5048,238.9262,41.926199999999994,0.5736,-23988.2379,2
5128,238.8959,41.89590000000001,0.5625,-24206.6852,2
5208,238.8656,41.8656,0.5512,-24425.2907,2
5288,238.8353,41.83529999999999,0.5398,-24644.0546,2
5368,238.8049,41.8049,0.5282,-24862.9773,2
5448,238.7745,41.77449999999999,0.5165,-25082.0592,2
5528,238.7441,41.7441,0.5046,-25301.3005,2
5608,238.7137,41.71369999999999,0.4927,-25520.7016,2
5688,238.6832,41.6832,0.4806,-25740.263,2
5768,238.6527,41.65270000000001,0.4684,-25959.9849,2
5848,238.6222,41.62219999999999,0.456,-26179.8676,2
5928,238.5917,41.5917,0.4436,-26399.9116,2
6008,238.5612,41.561200000000014,0.431,-26620.1172,2
6088,238.5306,41.53059999999999,0.4184,-26840.4848,2
6168,238.5,41.5,0.4056,-27061.0146,2
6248,238.4694,41.46940000000001,0.3927,-27281.7072,2
6328,238.4388,41.438799999999986,0.3798,-27502.5627,2
6408,238.4081,41.40809999999999,0.3667,-27723.5817,2
6488,238.3774,41.377399999999994,0.3535,-27944.7644,2
6568,238.3467,41.3467,0.3403,-28166.1112,2
6648,238.316,41.316,0.3269,-28387.6225,2
6728,238.2852,41.2852,0.3135,-28609.2987,2
6808,238.2545,41.25450000000001,0.3,-28831.14,2
